County,"Constituency
Code",Constituency   Name,Office Location,Most Conspicuous Landmark,"Estimated Distance From The Land
Mark To Constituency  Office",latitude,longitude
Samburu,134,Samburu North,Near The Dcs Office - Baragoi,Dcs Office Baragoi,200m From The Dcs Office,1.7835873,36.786087
Wajir,36,Wajir West,Giriftu,Griftu District Hospital,50m,1.9963081,39.7527195
Wajir,33,Wajir North,Bute,Police Station,100m,1.9987509,39.7528843
Wajir,35,Tarbaj,Tarbaj,Tarbaj District Hospital,50m,2.2084204,40.1175966
Marsabit,47,Saku,"Saku Town, On 1st Floor Caltex Petrol Station Building, Opposite
Marsabit Stadium","Caltex Petrol Station Building, Opposite
Marsabit Stadium",100 Metres,2.3307755,37.9868576
Mandera,42,Mandera South,El-Wak,El-Wak Service Station,30m,2.8070316,40.9293894
Mandera,44,Lafey,Lafey,Dc’s Office,20m,3.1503793,41.1845991
Marsabit,46,North Horr,Behind Administrative  Police Station,Behind Administrative  Police Station,500 Metres,3.3213566,37.0701455
Mandera,39,Mandera West,Takaba,Ap Line,50m,3.3969763,40.2240547
Marsabit,45,Moyale,"Moyale Town Centre, Along Thika Road, Opposite Equity Bank","Along Thika Road, Opposite Equity Bank",150 Metres,3.5212282,39.0553338
Turkana,124,Turkana West,"Inside Sub-County Commissioner’s  Offices, Kakuma Town P.O Box I
Kakuma -30501.",Sub County Commissioner's  Office,Same Location,3.7093262,34.8621783
Mandera,41,Mandera North,Rhamu,Post Office,30m,3.9309888,41.2227622
Mandera,43,Mandera East,Mandera,Nhif Office,20m,3.9385997,41.8599819
Mandera,40,Banisa,Banisa,Dc’s Office,100m,3.9416173,40.3423745
Garissa,27,Garissa Township,"Off Lamu Road, Behind Ministry Of Water Garage",,,,
Garissa,28,Balambala,Balambala Town Next To Dc’s Office.,,,,
Garissa,29,Lagdera,"Modogashe Town, Opposite Police Station.",,,,
Garissa,30,Dadaab,"Dadaab Town, Opposite Un Compound.",,,,
Garissa,31,Fafi,Next To Dc’s Office.,,,,
Garissa,32,Ijara,"Masalani Town, Next To Dc’s Office.",,,,
Wajir,37,Eldas,Eldas,Dc ‘S Residence,50m,,
Meru,56,North Imenti,"Milimani – County Commissioner  Residence Road Off Farm Concern
Junction To Mesburn Institute",Mesburn Institute,250 Meters,,
Kitui,71,Kitui Rural,Esther House – Kwa Vonza Market Along Kitui – Machakos Road,Kwa Vonza Market Bus Stop,50metres,,
Nyeri,95,Kieni,"Kieni East Sub County Offices, Chaka.","Deputy County Commissioners  Office, Kieni
East",30 Metres,,
Kirinyaga,103,Kirinyaga Central,Former Municipal Council Grounds,"Deputy County Commissioners  Office, Kirinyaga
Central",50 Meters,,
Murang'a,106,Kiharu,Murang'a Town,County Commissioners  Offeces,"Ground Floor Room 15 County
Commissioners  Officec",,
Turkana,123,Turkana North,"Dc’s Office Block, Lokitaung. P.O Box 223 Lodwar 30500",Dc's Office Block,500 Metres,,
Turkana,125,Turkana Central,"District Development  Offices, P.O Box 223 –Lodwar Town 30500",District Development  Offices,Same Building,,
Turkana,126,Loima,"Logurum At Dc Adminitration  Building (Offices ) P.O Box 223
–Lodwar 30500",Dc Administration  Offices,Same Building,,
Turkana,127,Turkana South,"D.D.O’s Offices, Lodwar P.O Box 223 Lodwar-30500",D.D.O's Offices,Same Building,,
Turkana,128,Turkana East,"Lokori At Dc’s Offices, P.O Box 223 –Lodwar 30500",Dc's Office Block,Same Location,,
Samburu,133,Samburu West,Next To Cdf Office- Samburu West,Opposite Dcs Office - Samburu,150 M,,
Uasin Gishu,142,Turbo,"West Indies Behind I.V.C  Church,P.O Box 822 Eldoret-30100",Ivc Church,100 Metres,,
Uasin Gishu,143,Moiben,Operating In Turbo Constituency  Office Currently,Ivc Church,100 Metres,,
Uasin Gishu,146,Kesses,Jamboni Complex Near Ddc’s Office P.O Box 822 Eldoret-30100,Moi Unversity Law School,1 Km,,
Nandi,151,Tinderet,"St Mary’s Tachasis Girl’s, Within Maraba In Tinderet.P.O Box 41
Nandihills 30301","St Mary’s Tachasis Girl’s, Within Maraba",Within The School Compound,,
Baringo,158,Baringo North,Behind Posta Building,Posta Building –Baringo North,19 Km From Kabarnet Town,,
Narok,182,Narok West,Nkorkorri Boys Sec. School,Nkorkorri Boys Sec. School,Same Location,,
Kericho,193,Sigowet/Soin,Soko Huru Shopping Centre- Along Kericho Kisumu Highway,"Soko Huru Shopping Centre- Along Kericho
Kisumu Highway",100 Metres From Highway,,
Bomet,196,Bomet East,Above Kipsigis Eddis Sacco(Opposite  National Cereals Board)- Bomet,Ncpb Bomet,20 Metres,,
Bomet,197,Bomet Central,National Cereals And Produce  Board – Bomet Offices,Ncpb Bomet,Same Building,,
Kakamega,200,Likuyani,Kongoni Pag Church Compound,Friends Church,50m,,
Kakamega,201,Malava,Within Compound Of Malava Yearly Meeting Of  Friends Church,(Quakers),100m,,
Kakamega,204,Mumias West,Along Mumias /Musanda Rd,"Bomani Playground, Ack Diocese Office Diocese
Office",100m,,
Kakamega,208,Khwisero,Vision Plaza Central Yearly Meeting Of Friends Church Lirhanda,Directly Opposite Safari Com Booster,20m,,
Kakamega,211,,Mbale Municipal Council,Barclays Bank,200,,
Kakamega,212,Sabatia,"National Cereals&Produce Board Chavakali Along Kak Mumias Rd
Shianda",Chavakali,100m,,
Kakamega,213,Hamisi,Youth Empowerment  Cnter,Sub Countycommissioner’s,Btw 50m-100m,,
Kakamega,214,Luanda,"Market,Mocco  Offices Ebusiralo Along  Ebusakami/Kima  Rd",Bunyore Girls H School,1km,,
Busia,226,Teso South,Dc’s Cpd,Dc’s Office,0m,,
Busia,231,Budalangi,Ap Line,Ap Line,0m,,
Kisumu,238,Kisumu East,"Within The Ministry Of Lands Premises; Next To Kisumu East Dc’s
Offices; Kisumu City",Imperial Hotel,400m,,
Migori,255,Suna East,Dc's Compound,Migori Town,Same Copound,,
Kisii,262,South Mugirango,Next To Dc's Compound,Nyamarambe  Town,100 M,,
Nyamira,272,Justus Naliakho,Dc's Compound,Nyamira Town,Same Copound,,
Nairobi City,274,Westlands,Ministry Of Social Services -Westlands,Ministry Of Social Services -Westlands,0 Km,,
Nairobi City,275,Dagoreti North,Maliposa Apartment -Ngong Road,Nakumart -Junction,4 Km,,
Nairobi City,276,Dagoretti South,Maisha Poa Centre -Kawangware,Do's Office -Kawangware.,1km,,
Nairobi City,277,Langata,Cdf Offices -Langata,Cdf Offices -Langata,0km,,
Nairobi City,278,Kibra,D.C's Office Kibera,D.C's Office Kibera,0km,,
Nairobi City,279,Roysambu,D.O's Office-Kahawa  West,D.O's Office-Kahawa  West,0km,,
Nairobi City,280,Kasarani,D.C's Office Kasarani,D.C's Office Kasarani,0km,,
Nairobi City,281,Ruaraka,Sacred Heart Catholic Church - Baba Dogo,Sacred Heart Catholic Church - Baba Dogo,0km,,
Nairobi City,282,Embakasi South,Joy Villa-Imara Daima,Nakumart Embakasi.,3km,,
Nairobi City,283,Embakasi North,D.C's Office -Dandora,D.O's Office -Dandora,0 Km,,
Nairobi City,284,Embakasi Central,D.C's Office-Kayole,D.C's Office-Kayole,0 Km,,
Nairobi City,285,Embakasi East,Ea School Of Aviation-Embakasi,Ea School Of Aviation-Embakasi,0 Km,,
Nairobi City,286,Embakasi West,Tena -Dolhnolm,Naivas Supermarket - Dolholm,3 Km,,
Nairobi City,287,Makadara,Ministry Of Public Works-Industral  Area,Ministry Of Public Works-Industral  Area,0 Km,,
Nairobi City,288,Kamukunji,D.C's Office-Kamukunji,D.C's Office-Kamukunji,0 Km,,
Nairobi City,289,Starehe,Kie-Ngara,Kie-Ngara,0 Km,,
Nairobi City,290,Mathare,Chief's Camp-Mathare,Chief's Camp-Mathare,0 Km,,
